,0
27-A,8173
4th Mile Dimapur,613
50-GB,8155
A lot,1380
"A.A.Nagar,Kurnool,RBZ",3583
Aamdi,4024
Aarah,414
Aarni,2391
Aatpadi,2079
Abadasa,2657
Abhanpur,2398
Abohar,232
Abu Road,668
ACF Agro Marketing ,10105
Achalda,2583
Achalpur,595
Achampet,859
Achampet(Amrabad),2778
Achampet(Lingal),8005
Achanta,860
Acharapakkam,1105
Achnera,2551
Adampur,1589
Adampur,83
Adampur(Agroha),2830
Adampur(Bahodinpur),8060
Adampur(Daroli Kalan),8061
Adarsh Krushi Bazar,10075
Addanki,861
Adilabad,862
Adilabad(Rythu Bazar),4290
Adimali,3080
Adoni,863
"Adoni,RBZ",3582
Agar,1381
Agra,314
Ahemadpur,8084
Aheri,2115
Ahirora,2611
Ahivara,4038
Ahmedabad,72
Ahmedabad(Chimanbhai Patal Market Vasana),2944
Ahmedabad(Flower Market Jamalpur),3205
"Ahmedabad(Fruit Market, Naroda)",2942
Ahmedabad(Manekchowk),3206
Ahmedabad(Rajnagar sub yard),2943
Ahmedgarh,1614
Ahmednagar,153
Ahmedpur,1825
Ahwa-Dang,3043
Aiginia Mandi,4267
Airwan,8283
Ait,1972
Aizuto,1174
AJattihalli(Uzhavar Sandhai ),10163
Ajaygarh,2733
Ajitwal,1605
Ajitwal (Chogawan),4433
Ajitwal (Dala),4440
Ajmer (Grain),254
Ajmer(F&amp;V),1778
Ajnala,623
Ajnala (Sudhar),4416
Ajuha,1898
Akaltara,2410
Akbarpur,1895
Akhadabalapur,2090
Akhnoor,103
Akiveedu,864
"Akkaiahpalem,RBZ,Visakhapatnam",1206
Akkalkot,1805
Akkalkuwa,2076
Aklera,1555
Akluj,1806
Akodia,2716
Akodiya,4204
Akola,8193
Akola,154
Akola(Borgaon Manju),4749
Akole,1766
Akot,1350
Alampur,865
Alampur,3048
Alamuru,867
Alanda,4399
Alangeyam,3734
Alangudi,1855
Alangudi(Uzhavar Sandhai ),10214
Alappuzha,128
Alathur,2369
Aler,2209
Alibagh,1424
Aliganj,2560
Aligarh,1894
Aligarh gon,8122
Alipurduar,703
Alirajpur,1373
Alirajpur(F&amp;V),3876
Alisher Kalan,8080
All India Cottonseed Crushers Association,2379
Allagadda,387
Allahabad,315
Allavaram,868
Alluru,3642
Along,1866
Alur,869
Aluva,134
"Alwal,RBZ",1251
Alwar,255
Alwar(FV),2858
Amadalavalasa,872
Amadula,2757
"Amalapuram(Mpl. Gate),RBZ",1216
Amalner,570
Amangal,870
Amarawati,155
Amargarh,1753
Amarpatan,3044
Amarpur,10004
Amarwda,8328
Ambad (Vadigodri),1822
Ambagarh Chowki,4048
Ambaha,3067
Ambajipeta,871
Ambala Cantt.,1152
Ambala City,79
Ambala City(Subji Mandi),2819
Ambasamudram,3718
Ambasamudram(Uzhavar Sandhai ),10252
Ambattur(Uzhavar Sandhai ),10256
Ambejaogai,1513
Ambikapur,438
Ambur,4269
Amgaon,603
Amirgadh,2689
Amlarem,3987
Amloh,633
Amloh(Gobind Garh Mandi),2879
Ammapet(Uzhavar Sandhai ),10222
Ammoor,1104
"AMO, Ahmedabad",9000
"AMO, Amritsar",9001
"AMO, Banglore",9002
"AMO, Chandigarh",9003
"AMO, Chennai",9004
"AMO, Delhi",9005
"AMO, Jaipur",9006
"AMO, Kolkata",9007
"AMO, Lucknow",9008
Amod,1417
Amod(Sarban),3006
Amoda,4101
Ampati,3993
Amrawati(Frui &amp; Veg. Market),3111
Amreli,451
Amritsar,226
Amritsar(Amritsar Mewa Mandi),2883
Amritsar(Chehreta),3104
Amritsar(Takharpura),3105
Amroha,1193
"Amudalavalasa ,RBZ",3551
Anaimalai,2793
Anaiyur(Uzhavar Sandhai ),10196
Anajngaon,596
Anakapally,1776
Anand,462
Anand Nagar,2344
"Anand(Veg,Yard,Anand)",2973
Anandapur,1680
Anandnagar,1948
Anandpur Sahib,646
Anantapur,873
Ananthapuram,3685
Anaparthy,875
Anchal,2353
Andimadom,3722
Andipatti(Uzhavar Sandhai ),10247
Angamaly,2156
Angaura,3917
Angul,208
Angul(Atthamallick),3119
Angul(Jarapada),3118
Anjad,2699
Anjar,1402
"Anjar(Veg,Sub Yard)",2998
Anjaw,2919
Anklav,3002
"Anklav(Veg,Market,Asodar)",3133
Ankleshwar,456
Anna Nagar(Uzhavar Sandhai ),10277
Anna nagar(Uzhavar Sandhai ),10190
Annigeri,529
Annur,1849
Anoop Shahar,2539
Anoopgarh,268
Anta,2864
Antagarh,4100
Anthiyur,1368
Anuppur,3136
Anwala,2572
Anyara(EEC),1121
Appta,2239
Arakalgud,4400
Aralamoodu,2348
Arang,2397
Arani,1843
Arani(Uzhavar Sandhai ),10271
Aranthangi,3710
Aranthangi(Uzhavar Sandhai ),10213
Arasikere,762
Arcot,3667
Arcot(Uzhavar Sandhai ),10315
ARG Agri Trade  Pvt Limited ,10141
Arihant Krishi Utpan Bazar ,10067
Ariyalur Market,3720
Ariyalur(Uzhavar Sandhai),10144
Arjuni,604
Arkonam,3676
Armoor,392
Armori,1813
Armori(Desaiganj),2511
Aron,2443
Aroor,2149
Arreria,806
Aruppukottai,1109
Aruppukottai(Uzhavar Sandhai ),10292
Arur,2381
Arvi,1508
Arwal,1635
Asandh,90
Asansol,3947
Ashahipora (Anantnagh),4354
Ashoknagar,185
Ashoknagar(F&amp;V),3888
Ashpur,8196
Ashta,552
Ashti,2119
Ashti(Jalna),2388
Ashti(Karanja),2513
Asifabad,876
Asifabad(Wankidi),8006
Atarra,1922
Ateli,2033
Athagarh,4263
Athani,528
Athirampuzha,3078
Athur(Uzhavar Sandhai ),10223
Atla Kalan,8081
Atmakur,391
Atmakur,877
Atmakur(SPS),381
Atrauli,2557
Atru,1552
Atru(Kawai Salpura),3154
Attabira,209
Attari,1724
Attayampatti(Uzhavar Sandhai ),10226
Attili,878
Attingal,2352
Attur,4358
Aurad,733
Aurad Shahajani,2127
Auraiya,826
Aurangabad,416
Aurangabad,581
Ausa,2124
Avallapalli(Uzhavar Sandhai ),10189
Avalpoonthurai,1370
Avalurpet,1103
Awagarh,2562
Azadpur,4747
Azamgarh,689
Babai,8311
Babain,2032
Baberu,1976
Babhulgaon,2107
Babra,1723
Babrala,2575
Bachaibari,707
Bachau,1403
Bachranwa,2586
Badamalhera,2454
Badami,714
Badami(Keruru),4127
Badarwas,2706
Badayoun,681
Badda,3447
Badepalli,6
Badhni Kalan,1604
Badhni Kallan (Bilaspur),4435
Badhore,8274
Badi,8101
Badnagar,2425
Badnawar,2419
Badnawar(F&amp;V),3875
Badod,2729
Badrisadri,2854
Badrukha,8256
Badshahpur,8037
Badvel,383
Badwaha,2438
Badwani,2464
Bagalakot,713
Bagalkot(Bigali),4126
Bagasara,1792
Bagbahra,2401
Bageecha,2762
Bagepalli,3978
Bagh(Srinagar),4353
Baghapurana,239
Baghmara,568
Baghry,4249
Bagli,3135
Bagpat,3453
Bagru,2860
Bahadajholla,1177
Bahadurganj,1642
Bahadurgarh,2041
Bahadurpur (Ekmi Ghat),10013
Bahdsora,8187
Bahedi,1919
Bahraich,316
Bahrawandakhurd,8131
Bahroad,8424
Baikunthpur,2768
Baikunthpur,1393
Bailahongal,720
Bairabi,2142
Bajju,8204
Bajwal,8278
Bakani,8140
Bakswaha,8319
Baktara,3070
Bakthgarh,8250
Balachaur,1607
Balaghat,1123
Balaghat(F&amp;V),3901
Balaji Agri Trade Pvt Limited ,10127
Balaji Krushi Market,10069
Balapur,1476
Balarampur,3636
Balasinor,1701
Bali,2863
Balianwali,8069
Ballabhgarh,1154
Ballah,8049
Ballia,317
Balliah,10005
Balod,429
Baloda,4017
Baloda(Janjgir Campus),4062
Balodabazar,2747
Balotra,1547
Balrampur,1896
Balu,8058
Balugaon,1681
Balurghat,354
Balurghat,2924
Balwadi,3051
Bamial,8245
Bamora,2713
Bampada,1175
Banaganapalli,880
Banapura,2420
Banaskantha,453
Banda,2467
Banda,1899
Bandhabazar,2405
Bandikui,1543
Bandikui(Geejgarh),3156
Bandipora,2525
Bandrol,3840
Banga,1608
Banga (Kataria),4424
Bangalore,107
Bangarmau,1907
Bangarpet,772
Bangarupalem,879
Bangowagi Kunjar,8235
Bankhedi,2456
Banki,1675
Bankura Sadar,349
Banmorkalan,8316
Bansi,8123
Bansoor,8102
Banswada,17
Banswara,667
Banthara,2584
Bantvala(Vittla),4156
Bantwala,748
Banur,1749
Banur (Kheragaju),4439
Bapatla,881
Bapauli,2030
Baphana Agro Market Inc,10097
"Bapulapadu,RBZ",1224
Bara Bazar (Posta Bazar),3625
Barabanki,318
Barad,8314
Baradwar,4065
Barahat,1650
Baramati,576
Baramkela,2759
Baran,258
Baraodia,8179
Barara,1980
Barari,10017
Barasat,348
Baraut,675
Barbigha,10034
Bardewri,4104
Bardoli,814
Bardoli(Katod),3026
Bardoli(Madhi),3523
Bareilly,319
Bareli,2436
Bareta,642
Bargarh,210
Bargarh(Barapalli),3121
Barghat,3803
Bargur,3747
Barhaj,3445
Barhmba,8221
Barikpur,3912
Baripada,618
Bariwala,1606
Bariya,4078
Barmer,655
Barnala,247
Barpathari,3932
Barshi,175
Barshi Takli,2094
Barshi(Vairag),2497
Barsoi,1643
Bartori,4053
Baruch(Vagara),2981
Baruipur(Canning),2640
Baruwasagar,2595
Barvala,2648
Barwala,1979
Barwala(Hisar),2004
Basana,443
Basava Kalayana,536
